t(s),a,v,l,r
0.001485586166381836,0.0,0.0,0.0,0.0
0.0032160282135009766,0.0,0.0,0.0,0.0
0.004845380783081055,0.0,0.0,0.0,0.0
0.006482839584350586,0.0,0.0,0.0,0.0
0.008944511413574219,0.0,0.0,0.0,0.0
0.010599136352539062,0.0,0.0,0.0,0.0
0.012202978134155273,0.0,0.0,0.0,0.0
0.01366281509399414,0.0,0.0,0.0,0.0
0.015100240707397461,0.0,0.0,0.0,0.0
0.01653766632080078,0.0,0.0,0.0,0.0
0.017998456954956055,0.0,0.0,0.0,0.0
0.019487380981445312,0.0,0.0,0.0,0.0
0.020931482315063477,0.0,0.0,0.0,0.0
0.022370576858520508,0.0,0.0,0.0,0.0
0.023811817169189453,0.0,0.0,0.0,0.0
0.025269746780395508,0.0,0.0,0.0,0.0
0.026728391647338867,0.0,0.0,0.0,0.0
0.02833867073059082,0.0,0.0,0.0,0.0
0.029773950576782227,0.0,0.0,0.0,0.0
0.031276702880859375,0.0,0.0,0.0,0.0
0.032724857330322266,0.0,0.0,0.0,0.0
0.034160614013671875,0.0,0.0,0.0,0.0
0.03563642501831055,0.0,0.0,0.0,0.0
0.03708767890930176,0.0,0.0,0.0,0.0
0.03851819038391113,0.0,0.0,0.0,0.0
0.039946794509887695,0.0,0.0,0.0,0.0
0.04138517379760742,0.0,0.0,0.0,0.0
0.04281163215637207,0.0,0.0,0.0,0.0
0.04423713684082031,0.0,0.0,0.0,0.0
0.045662641525268555,0.0,0.0,0.0,0.0
0.047145843505859375,0.0,0.0,0.0,0.0
0.048574209213256836,0.0,0.0,0.0,0.0
0.05000424385070801,0.0,0.0,0.0,0.0
0.051462650299072266,0.0,0.0,0.0,0.0
0.05289196968078613,0.0,0.0,0.0,0.0
0.054322242736816406,0.0,0.0,0.0,0.0
0.055755615234375,0.0,0.0,0.0,0.0
0.05720329284667969,0.0,0.0,0.0,0.0
0.0586397647857666,0.0,0.0,0.0,0.0
0.060071706771850586,0.0,0.0,0.0,0.0
0.06150341033935547,0.0,0.0,0.0,0.0
0.06293559074401855,0.0,0.0,0.0,0.0
0.06437325477600098,0.0,0.0,0.0,0.0
0.06580281257629395,0.0,0.0,0.0,0.0
0.06727385520935059,0.0,0.0,0.0,0.0
0.06870579719543457,0.0,0.0,0.0,0.0
0.07013177871704102,0.0,0.0,0.0,0.0
0.07156062126159668,0.0,0.0,0.0,0.0
0.07299113273620605,0.0,0.0,0.0,0.0
0.07442116737365723,0.0,0.0,0.0,0.0
0.07585453987121582,0.0,0.0,0.0,0.0
0.07729816436767578,0.0,0.0,0.0,0.0
0.07873201370239258,0.0,0.0,0.0,0.0
0.08016276359558105,0.0,0.0,0.0,0.0
0.08159685134887695,0.0,0.0,0.0,0.0
0.08305597305297852,0.0,0.0,0.0,0.0
0.08449172973632812,0.0,0.0,0.0,0.0
0.08597326278686523,0.0,0.0,0.0,0.0
0.08746480941772461,0.0,0.0,0.0,0.0
0.08890080451965332,0.0,0.0,0.0,0.0
0.09033203125,0.0,0.0,0.0,0.0
0.09177064895629883,0.0,0.0,0.0,0.0
0.09320425987243652,0.0,0.0,0.0,0.0
0.09463834762573242,0.0,0.0,0.0,0.0
0.09607338905334473,-0.5235,0.2,0.0,0.0
0.09752559661865234,-0.5235,0.2,0.0,0.0
0.0989990234375,-0.5235,0.2,0.0,0.0
0.10044431686401367,-0.5235,0.2,0.0,0.0
0.1018838882446289,-0.5235,0.2,0.0,0.0038
0.11548304557800293,-0.5235,0.2,0.0,0.0038
0.13150382041931152,-0.5235,0.2,0.0,0.0038
0.14745473861694336,-0.5235,0.2,0.0,0.0038
0.16336345672607422,-0.5235,0.2,-0.0038,0.0083
0.17931818962097168,-0.5235,0.2,-0.0038,0.0083
0.19528675079345703,-0.5235,0.2,-0.0038,0.0121
0.21135377883911133,-0.5235,0.2,-0.0038,0.0121
0.22728991508483887,-0.5235,0.2,-0.0038,0.0121
0.24317550659179688,-0.5235,0.2,-0.0083,0.0083
0.25917506217956543,-0.5235,0.2,-0.0083,0.0083
0.2751040458679199,-0.5235,0.2,-0.0121,0.0121
0.29107165336608887,-0.5235,0.2,-0.0121,0.0121
0.3070554733276367,-0.5235,0.2,-0.0083,0.0121
0.32301878929138184,-0.5235,0.2,-0.0083,0.0121
0.3390011787414551,-0.5235,0.2,-0.0121,0.0083
0.35495424270629883,-0.5235,0.2,-0.0121,0.0083
0.3710293769836426,-0.5235,0.2,-0.0211,0.0166
0.38697028160095215,-0.5235,0.2,-0.0211,0.0166
0.4028594493865967,-0.5235,0.2,-0.0339,0.0339
0.4188833236694336,-0.5235,0.2,-0.0339,0.0339
0.43480753898620605,-0.5235,0.2,-0.0596,0.0551
0.45087504386901855,-0.5235,0.2,-0.098,0.0807
0.46669912338256836,-0.5235,0.2,-0.098,0.0807
0.48273468017578125,-0.5235,0.2,-0.1448,0.1192
0.49863672256469727,-0.5235,0.2,-0.1448,0.1192
0.5146253108978271,-0.5235,0.2,-0.1916,0.1576
0.5306568145751953,-0.5235,0.2,-0.1916,0.1576
0.546550989151001,-0.5235,0.2,-0.2391,0.1916
0.5625061988830566,-0.5235,0.2,-0.2391,0.1916
0.5784702301025391,-0.5235,0.2,-0.2814,0.2217
0.5944445133209229,-0.5235,0.2,-0.2814,0.2217
0.6103901863098145,-0.5235,0.2,-0.3243,0.2557
0.6264524459838867,-0.5235,0.2,-0.3243,0.2557
0.6423590183258057,-0.5235,0.2,-0.3628,0.2942
0.6583542823791504,-0.5235,0.2,-0.3628,0.2942
0.6742479801177979,-0.5235,0.2,-0.4096,0.3288
0.690314531326294,-0.5235,0.2,-0.4525,0.3628
0.7076213359832764,-0.5235,0.2,-0.4525,0.3628
0.7234799861907959,-0.5235,0.2,-0.4993,0.4012
0.7394070625305176,-0.5235,0.2,-0.4993,0.4012
0.7554700374603271,-0.5235,0.2,-0.5467,0.4397
0.7713325023651123,-0.5235,0.2,-0.5467,0.4397
0.7872819900512695,-0.5235,0.2,-0.5891,0.4653
0.8032679557800293,-0.5235,0.2,-0.5891,0.4653
0.8193902969360352,-0.5235,0.2,-0.6275,0.4955
0.8352136611938477,-0.5235,0.2,-0.6275,0.4955
0.8511087894439697,-0.5235,0.2,-0.6621,0.5211
0.8672401905059814,-0.5235,0.2,-0.6621,0.5211
0.883150577545166,-0.5235,0.2,-0.6878,0.5378
