t(s),a,v,l,r
0.004020214080810547,0.0,0.0,0.0,0.0
0.007859230041503906,0.0,0.0,0.0,0.0
0.012041091918945312,0.0,0.0,0.0,0.0
0.015438079833984375,0.0,0.0,0.0,0.0
0.01718592643737793,0.0,0.0,0.0,0.0
0.01882624626159668,0.0,0.0,0.0,0.0
0.02041482925415039,0.0,0.0,0.0,0.0
0.022063732147216797,0.0,0.0,0.0,0.0
0.023670673370361328,0.0,0.0,0.0,0.0
0.025167465209960938,0.0,0.0,0.0,0.0
0.026602983474731445,0.0,0.0,0.0,0.0
0.028104782104492188,0.0,0.0,0.0,0.0
0.02957916259765625,0.0,0.0,0.0,0.0
0.03101038932800293,0.0,0.0,0.0,0.0
0.03243756294250488,0.0,0.0,0.0,0.0
0.033853769302368164,0.0,0.0,0.0,0.0
0.03527379035949707,0.0,0.0,0.0,0.0
0.03674674034118652,0.0,0.0,0.0,0.0
0.0381925106048584,0.0,0.0,0.0,0.0
0.03969001770019531,0.0,0.0,0.0,0.0
0.04118204116821289,0.0,0.0,0.0,0.0
0.04261064529418945,0.0,0.0,0.0,0.0
0.04443049430847168,0.0,0.0,0.0,0.0
0.04586601257324219,0.0,0.0,0.0,0.0
0.04728579521179199,0.0,0.0,0.0,0.0
0.04871797561645508,0.0,0.0,0.0,0.0
0.05014228820800781,0.0,0.0,0.0,0.0
0.05156230926513672,0.0,0.0,0.0,0.0
0.052980899810791016,0.0,0.0,0.0,0.0
0.0543973445892334,0.0,0.0,0.0,0.0
0.05582094192504883,0.0,0.0,0.0,0.0
0.057245731353759766,0.0,0.0,0.0,0.0
0.058687686920166016,0.0,0.0,0.0,0.0
0.060117244720458984,0.0,0.0,0.0,0.0
0.06157040596008301,0.0,0.0,0.0,0.0
0.06299710273742676,0.0,0.0,0.0,0.0
0.0644230842590332,0.0,0.0,0.0,0.0
0.06603407859802246,0.0,0.0,0.0,0.0
0.06749343872070312,0.0,0.0,0.0,0.0
0.06892251968383789,0.0,0.0,0.0,0.0
0.07034778594970703,0.0,0.0,0.0,0.0
0.07177138328552246,0.0,0.0,0.0,0.0
0.0731968879699707,0.0,0.0,0.0,0.0
0.07461786270141602,0.0,0.0,0.0,0.0
0.07603859901428223,0.0,0.0,0.0,0.0
0.0775148868560791,0.0,0.0,0.0,0.0
0.07893705368041992,0.0,0.0,0.0,0.0
0.08036351203918457,0.0,0.0,0.0,0.0
0.08178853988647461,0.0,0.0,0.0,0.0
0.08321571350097656,0.0,0.0,0.0,0.0
0.0846395492553711,0.0,0.0,0.0,0.0
0.08606266975402832,0.0,0.0,0.0,0.0
0.08750605583190918,0.0,0.0,0.0,0.0
0.08893227577209473,0.0,0.0,0.0,0.0
0.09035301208496094,0.0,0.0,0.0,0.0
0.09177660942077637,0.0,0.0,0.0,0.0
0.09324145317077637,0.0,0.0,0.0,0.0
0.09466934204101562,0.0,0.0,0.0,0.0
0.09609198570251465,0.0,0.0,0.0,0.0
0.09755563735961914,0.0,0.0,0.0,0.0
0.09904146194458008,0.0,0.0,0.0,0.0
0.10060882568359375,0.0,0.0,0.0,0.0
0.10204839706420898,0.0,0.0,0.0,0.0
0.10348105430603027,0.0,-0.5,0.0,0.0
0.10491347312927246,0.0,-0.5,0.0,0.0
0.10635113716125488,0.0,-0.5,0.0,0.0
0.10780763626098633,0.0,-0.5,0.0,0.0
0.10928130149841309,0.0,-0.5,0.0,0.0
0.11072611808776855,0.0,-0.5,0.0,0.0
0.12546515464782715,0.0,-0.5,0.0,0.0
0.14139103889465332,0.0,-0.5,0.0,0.0
0.15737509727478027,0.0,-0.5,0.0,0.0
0.1732950210571289,0.0,-0.5,0.0038,-0.0038
0.18924403190612793,0.0,-0.5,0.0038,-0.0038
0.20519471168518066,0.0,-0.5,0.0083,-0.0038
0.22131085395812988,0.0,-0.5,0.0083,-0.0083
0.2371835708618164,0.0,-0.5,0.0083,-0.0083
0.25306105613708496,0.0,-0.5,0.0121,-0.0121
0.2690417766571045,0.0,-0.5,0.0121,-0.0121
0.2849750518798828,0.0,-0.5,0.0166,-0.0166
0.3009932041168213,0.0,-0.5,0.0166,-0.0166
0.31691527366638184,0.0,-0.5,0.0166,-0.025
0.33287620544433594,0.0,-0.5,0.0166,-0.025
0.3488140106201172,0.0,-0.5,0.025,-0.0467
0.3647623062133789,0.0,-0.5,0.025,-0.0467
0.3807384967803955,0.0,-0.5,0.0467,-0.0634
0.39669084548950195,0.0,-0.5,0.0467,-0.0634
0.41271543502807617,0.0,-0.5,0.0724,-0.0807
0.4286227226257324,0.0,-0.5,0.0724,-0.0807
0.444580078125,0.0,-0.5,0.098,-0.1102
0.46064305305480957,0.0,-0.5,0.132,-0.1358
0.476517915725708,0.0,-0.5,0.132,-0.1358
0.49244260787963867,0.0,-0.5,0.1621,-0.1576
0.5084476470947266,0.0,-0.5,0.1621,-0.1576
0.524334192276001,0.0,-0.5,0.1961,-0.1916
0.5403048992156982,0.0,-0.5,0.1961,-0.1916
0.5562570095062256,0.0,-0.5,0.2262,-0.2301
0.5721819400787354,0.0,-0.5,0.2262,-0.2301
