t(s),a,v,l,r
0.004540443420410156,0.0,0.0,0.0,0.0
0.008643627166748047,0.0,0.0,0.0,0.0
0.012689828872680664,0.0,0.0,0.0,0.0
0.016730785369873047,0.0,0.0,0.0,0.0
0.020751476287841797,0.0,0.0,0.0,0.0
0.024759769439697266,0.0,0.0,0.0,0.0
0.02881622314453125,0.0,0.0,0.0,0.0
0.032829999923706055,0.0,0.0,0.0,0.0
0.03686928749084473,0.0,0.0,0.0,0.0
0.04088997840881348,0.0,0.0,0.0,0.0
0.04490518569946289,0.0,0.0,0.0,0.0
0.048966407775878906,0.0,0.0,0.0,0.0
0.05299735069274902,0.0,0.0,0.0,0.0
0.05706381797790527,0.0,0.0,0.0,0.0
0.06107950210571289,0.0,0.0,0.0,0.0
0.06509804725646973,0.0,0.0,0.0,0.0
0.06917428970336914,0.0,0.0,0.0,0.0
0.07316303253173828,0.0,0.0,0.0,0.0
0.076080322265625,0.0,0.0,0.0,0.0
0.07795357704162598,0.0,0.0,0.0,0.0
0.07981705665588379,0.0,0.0,0.0,0.0
0.08167195320129395,0.0,0.0,0.0,0.0
0.08355832099914551,0.0,0.0,0.0,0.0
0.08543062210083008,0.0,0.0,0.0,0.0
0.08730840682983398,0.0,0.0,0.0,0.0
0.08916258811950684,0.0,0.0,0.0,0.0
0.09101629257202148,0.0,0.0,0.0,0.0
0.09286904335021973,0.0,0.0,0.0,0.0
0.09472370147705078,0.0,0.0,0.0,0.0
0.09659647941589355,0.0,0.0,0.0,0.0
0.09844779968261719,0.0,0.0,0.0,0.0
0.10030126571655273,0.0,0.0,0.0,0.0
0.10215878486633301,0.0,0.0,0.0,0.0
0.10402154922485352,0.0,0.0,0.0,0.0
0.10589361190795898,0.0,0.0,0.0,0.0
0.10774970054626465,0.0,0.0,0.0,0.0
0.10960245132446289,0.0,0.0,0.0,0.0
0.11145949363708496,0.0,0.0,0.0,0.0
0.1133272647857666,0.0,0.0,0.0,0.0
0.11518597602844238,0.0,0.0,0.0,0.0
0.11705732345581055,0.0,0.0,0.0,0.0
0.11891388893127441,0.0,0.0,0.0,0.0
0.12077522277832031,0.0,0.0,0.0,0.0
0.12262797355651855,0.0,0.0,0.0,0.0
0.12449264526367188,0.0,0.0,0.0,0.0
0.12637662887573242,0.0,0.0,0.0,0.0
0.12823963165283203,0.0,0.0,0.0,0.0
0.13009881973266602,0.0,0.0,0.0,0.0
0.13196301460266113,0.0,0.0,0.0,0.0
0.13382434844970703,0.0,0.0,0.0,0.0
0.1356825828552246,0.0,0.0,0.0,0.0
0.13755345344543457,0.0,0.0,0.0,0.0
0.1394186019897461,0.0,0.0,0.0,0.0
0.14128351211547852,0.0,0.0,0.0,0.0
0.14314484596252441,0.0,0.0,0.0,0.0
0.14503908157348633,0.0,0.0,0.0,0.0
0.14694833755493164,0.0,0.0,0.0,0.0
0.14881253242492676,0.0,0.0,0.0,0.0
0.15067458152770996,0.0,0.0,0.0,0.0
0.15253543853759766,0.0,0.0,0.0,0.0
0.15439963340759277,0.0,0.0,0.0,0.0
0.15627145767211914,0.0,0.0,0.0,0.0
