t(s),l,r
0.0019884109497070312,-0.0211,0.0211
0.003972530364990234,-0.0211,0.0211
0.0059125423431396484,-0.0211,0.0211
0.007869720458984375,-0.0211,0.0211
0.009813785552978516,-0.0211,0.0211
0.011742830276489258,-0.0211,0.0211
0.013675928115844727,-0.0211,0.0211
0.015715599060058594,-0.0211,0.0211
0.01764059066772461,-0.0211,0.0211
0.019558429718017578,-0.0211,0.0211
0.021488666534423828,-0.0211,0.0211
0.023433685302734375,-0.0211,0.0211
0.025459766387939453,-0.0211,0.0211
0.027471542358398438,-0.0211,0.0211
0.02943134307861328,-0.0211,0.0211
0.03139162063598633,-0.0211,0.0211
0.03336310386657715,-0.0211,0.0211
0.0838613510131836,-0.2301,0.2519
0.1435098648071289,-0.8326,0.8288
0.20321393013000488,-1.6448,1.5935
0.262969970703125,-2.1788,2.0762
0.32270169258117676,-2.4608,2.3583
0.3824000358581543,-2.632,2.5121
0.44215869903564453,-2.7301,2.5852
0.5019474029541016,-2.7942,2.6275
0.5617411136627197,-2.8198,2.6621
0.6214358806610107,-2.8326,2.6833
0.681215763092041,-2.8416,2.7134
0.7409300804138184,-2.85,2.7262
0.8007321357727051,-2.8583,2.7134
0.8620762825012207,-2.8666,2.7044
0.921849250793457,-2.8666,2.7134
0.9817206859588623,-2.8711,2.7256
1.0414330959320068,-2.8711,2.7384
1.1016032695770264,-2.8801,2.7384
1.1603944301605225,-2.8801,2.7256
1.2201030254364014,-2.8839,2.7134
1.2806317806243896,-2.8756,2.7134
1.3403375148773193,-2.8628,2.7217
1.400212287902832,-2.8583,2.7301
1.4599568843841553,-2.8666,2.7256
1.5196807384490967,-2.8666,2.7173
1.579531192779541,-2.8801,2.7089
1.6392707824707031,-2.8756,2.7089
1.6990859508514404,-2.8673,2.7217
1.7588856220245361,-2.8583,2.7256
1.818669319152832,-2.8666,2.7217
1.878493070602417,-2.8628,2.7173
1.9382317066192627,-2.8583,2.7006
1.9980769157409668,-2.85,2.6961
2.0578737258911133,-2.8416,2.7089
2.117668867111206,-2.8416,2.7256
2.177429676055908,-2.8538,2.7217
2.237269878387451,-2.8711,2.7173
2.2969796657562256,-2.8801,2.7089
2.3567748069763184,-2.8711,2.7089
2.416534662246704,-2.8583,2.7173
2.476381540298462,-2.85,2.7301
2.536308765411377,-2.8538,2.7217
2.595998525619507,-2.8583,2.7173
2.65574312210083,-2.8628,2.7173
2.7155392169952393,-2.8711,2.7217
2.7753069400787354,-2.8711,2.7256
2.8350791931152344,-2.8756,2.7217
2.894892454147339,-2.8756,2.7089
2.95473051071167,-2.8756,2.7173
3.014437437057495,-2.8711,2.7217
3.07435941696167,-2.8673,2.7217
3.1340248584747314,-2.8673,2.7134
3.1938517093658447,-2.8711,2.7134
3.2535929679870605,-2.8711,2.7173
3.313373565673828,-2.8801,2.7217
3.3732025623321533,-2.8801,2.7346
3.4329495429992676,-2.8756,2.7384
3.492917537689209,-2.8756,2.7256
3.5527546405792236,-2.8756,2.7173
3.610992908477783,-2.8756,2.7262
3.670858860015869,-2.8801,2.7301
3.7305116653442383,-2.8801,2.7301
3.790226459503174,-2.8801,2.7346
3.85001277923584,-2.8801,2.7301
3.9097938537597656,-2.8711,2.7256
3.9695522785186768,-2.8628,2.7301
4.0293354988098145,-2.8583,2.7384
4.089130401611328,-2.8583,2.7429
4.148961305618286,-2.8711,2.7391
4.208705186843872,-2.8801,2.7256
4.268505811691284,-2.8839,2.7089
4.329512596130371,-2.8801,2.7089
4.389503479003906,-2.8711,2.7262
4.449421167373657,-2.8583,2.7346
4.509222507476807,-2.8583,2.7384
4.569014072418213,-2.8628,2.7217
4.628708839416504,-2.8583,2.7044
4.688461542129517,-2.841,2.6923
4.748238563537598,-2.7987,2.666
4.808014869689941,-2.7217,2.6192
4.867834806442261,-2.6576,2.5506
